nid	module	name
12e04cd7		cimagl
12f0a27d	cellSync2	cellSync2QueueGetSize
130150ea	cellHttp	cellHttpClientGetRecvBufferSize
130d20a5		towlower
1313a420		acos
1324948a	cellRtc	cellRtcFormatRfc3339LocalTime
13268e21	cell_FreeType2	FT_Bitmap_New
134034ce	cellSysutil	_ZN8cxmlutil6GetIntERKN4cxml7ElementEPKcPi
1350864e	cellCamera	cellCameraResetAttribute
13524faa	cellSearchUtility	cellSearchStartSceneSearch
1365b52a		fcntl
13671514	cellSpursJq	cellSpursJobQueueSetWaitingMode
1374b8c8		_ZNSt10moneypunctIcLb0EED1Ev
137f7e77		expf4
13808972		wcstok
1387c45c	cellFont	cellFontGetHorizontalLayout
1395d8d1	cellHttp	cellHttpClientSetSslCallback
139a9e9b	sys_net	sys_net_initialize_network_ex
13ae18f3	cellSpurs	cellSpursTaskExitCodeGet
13ea7c64	libgem	cellGemInit
13efe7f5	sys_net	getsockname
13fe767b	cellHttp	cellHttpClientSetCookieRecvCallback
14052ae0		absi4
14208b00		_asinf4fast
1422a425	cellSailRec	cellSailProfileSetEsVideoParameter
143048bf		_ZNSt15basic_streambufIcSt11char_traitsIcEE7seekoffElNSt5_IosbIiE8_SeekdirENS4_9_OpenmodeE
14348b57		divi4
143f46a4	cellSysutilAvcExt	cellSysutilAvcExtStopCameraDetection
14497465	sceNp	sceNpMatchingQuickMatchGUI
145853cd		mspace_destroy
145f9b11	cellSail	cellSailPlayerOpenEsAudio
146618df	sceNpCommerce2	sceNpCommerce2GetProductInfoListGetResult
1474ac53		_ZNKSt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEE6do_getES3_S3_RSt8ios_baseRNSt5_IosbIiE8_IostateERt
14937714	cellSysutilAvc2	cellSysutilAvc2SetVoiceMuting
1498a072		_Cmulcr
14bc1d1e	libmixer	cellSurMixerPause
14bf2dc1	cellKey2char	cellKey2CharClose
14bfc765	cellHttp	cellHttpClientGetConnTimeout
14d58c7a	sys_fs	cellFsMappedAllocate
14e3faa5		_ZNKSt5ctypeIwE9do_narrowEwc
14ee3649	cellL10n	sjis2jis
14f504b8	cellL10n	EUCKRstoUCS2s
150fdca3	sceNpCommerce2	sceNpCommerce2GetContentRatingDescriptor
1527fe95		_ZNSt15basic_streambufIwSt11char_traitsIwEE4syncEv
1529e506	cellAdec	cellAdecDecodeAu
1533c6a9	libvdec	cellVdecDecodeAuEx2
15362bc9		spu_thread_read_long
153b364a		mkdir
155de760	sceNp	sceNpSignalingGetConnectionInfo
156fe2f0	cellM4AacDec2chmod	_SceAdecCorrectPtsValue_M4Aac2chmod
1573dc3f	sysPrxForUser	sys_lwmutex_lock
1576e4f2	cellMusicDecodeUtility	cellMusicDecodeGetDecodeStatus2
157d30c5	cellPngDec	cellPngDecCreate
15934401	cellSpursJq	cellSpursJobQueueGetSuspendedJobSize
15a11d97	cell_FreeType2	FTC_SBitCache_New
15b0b0cd	cellSysutil	cellVideoOutGetConfiguration
15bae46b	cellGcmSys	_cellGcmInitBody
15bdcc00		rand
15c2e29d		isgraph_ascii
15df71ed	cellSysutil	cellSysutilAvcLoadAsync
15ec0cca	cellCelpEnc	cellCelpEncClose
15fd6a2a	cellSail	cellSailDescriptorClose
161da6a7	cellSpurs	cellSpursJobChainGetError
16214411	cellHttp	cellHttpRequestDeleteHeader
16322df1	cellFont	cellFontGraphicsSetScalePixel
16394a4e	cellSpurs	_cellSpursTasksetAttributeInitialize
164843a7	cellSync2	cellSync2SemaphoreFinalize
1650aea4	cellSsl	cellSslEnd
1656d49f	cellSpurs	cellSpursLFQueueAttachLv2EventQueue
16698e83	libvdec	cellVdecClose
