ordinal	packet	same_as	selector_slot	provenance_kind	provenance_ref	witness	exception	arm_source
482	cmd	none	none	firmware_reading	liblv2.sprx	crates/cellgov_lv2/src/host/dispatch_route/tests/route_prx_tests.rs:syscall_482_full_handshake_unblocks_unload	none	crates/cellgov_lv2/src/host/dispatch_route/unsupported_arms/prx/lifecycle.rs
483	none	none	none	non_public	none	crates/cellgov_lv2/src/host/dispatch_route/tests/route_prx_tests.rs:prx_unload_module_unstarted_withdraws_with_ok	none	crates/cellgov_lv2/src/host/dispatch_route/unsupported_arms/prx/lifecycle.rs
484	none	none	none	non_public	none	crates/cellgov_lv2/src/host/dispatch_route/tests/register_module_tests.rs:a_coreos_caller_binds_its_got_slot_to_the_exporter_opd	none	crates/cellgov_lv2/src/host/dispatch_route/unsupported_arms/prx/register.rs
486	none	none	none	non_public	none	crates/cellgov_lv2/src/host/dispatch_route/tests/route_prx_tests.rs:syscall_486_null_library_is_efault_not_a_fabricated_ok	none	crates/cellgov_lv2/src/host/dispatch_route/unsupported_arms/prx/register.rs
494	none	none	none	non_public	none	crates/cellgov_lv2/src/host/dispatch_route/tests/route_prx_tests.rs:syscall_494_walks_registry_writing_ids_and_count	none	crates/cellgov_lv2/src/host/dispatch_route/unsupported_arms/prx/query.rs
497	none	480	none	unestablished	none	crates/cellgov_lv2/src/host/dispatch_route/tests/route_prx_tests.rs:syscall_497_routes_through_same_resolver_as_480	none	crates/cellgov_lv2/src/host/dispatch_route/helpers.rs
512	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/dispatch_route/tests/route_stub_tests.rs:syscall_512_returns_zero_non_root	none	crates/cellgov_lv2/src/host/dispatch_route/unsupported_arms/misc.rs
516	none	none	none	non_public	none	crates/cellgov_lv2/src/host/config/tests/config_tests.rs:open_writes_a_handle_and_seeds_both_pad_manager_services	none	crates/cellgov_lv2/src/host/config/syscalls.rs
517	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/config/tests/config_tests.rs:close_stops_record_reads_but_not_delivery	none	crates/cellgov_lv2/src/host/config/syscalls.rs
518	none	none	none	non_public	none	crates/cellgov_lv2/src/host/config/tests/config_tests.rs:get_service_event_writes_the_record	none	crates/cellgov_lv2/src/host/config/syscalls.rs
519	none	none	none	non_public	none	crates/cellgov_lv2/src/host/config/tests/config_tests.rs:a_pad_manager_listener_leading_with_01_is_replayed_the_seeded_service	none	crates/cellgov_lv2/src/host/config/syscalls.rs
520	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/config/tests/config_tests.rs:removing_a_listener_drops_its_records_and_collects_the_dead_service	none	crates/cellgov_lv2/src/host/config/syscalls.rs
521	none	none	none	non_public	none	crates/cellgov_lv2/src/host/config/tests/config_tests.rs:a_once_listener_hears_one_registration_and_a_repeating_one_hears_each	none	crates/cellgov_lv2/src/host/config/syscalls.rs
522	none	none	none	non_public	none	crates/cellgov_lv2/src/host/config/tests/config_tests.rs:unregister_notifies_with_registered_zero_and_writes_the_short_record	none	crates/cellgov_lv2/src/host/config/syscalls.rs
530	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/tests/usbd_tests.rs:initialize_mints_a_handle_and_a_second_initialize_mints_another	none	crates/cellgov_lv2/src/host/usbd.rs
531	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/tests/usbd_tests.rs:receive_event_parks_and_finalize_wakes_every_reader_with_the_terminate_triple	none	crates/cellgov_lv2/src/host/usbd.rs
532	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/tests/usbd_tests.rs:an_empty_bus_lists_no_devices_and_acknowledges_ldd_registration	none	crates/cellgov_lv2/src/host/usbd.rs
533	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/tests/usbd_tests.rs:device_and_pipe_scoped_calls_on_a_live_handle_are_einval_and_counted	none	crates/cellgov_lv2/src/host/usbd.rs
534	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/tests/usbd_tests.rs:a_null_descriptor_pointer_is_a_pointer_refusal_not_a_no_device_one	none	crates/cellgov_lv2/src/host/usbd.rs
535	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/tests/usbd_tests.rs:an_empty_bus_lists_no_devices_and_acknowledges_ldd_registration	none	crates/cellgov_lv2/src/host/usbd.rs
536	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/tests/usbd_tests.rs:unregistering_a_product_no_register_recorded_is_esrch	none	crates/cellgov_lv2/src/host/usbd.rs
537	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/tests/usbd_tests.rs:device_and_pipe_scoped_calls_on_a_live_handle_are_einval_and_counted	none	crates/cellgov_lv2/src/host/usbd.rs
538	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/tests/usbd_tests.rs:device_and_pipe_scoped_calls_on_a_live_handle_are_einval_and_counted	none	crates/cellgov_lv2/src/host/usbd.rs
539	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/tests/usbd_tests.rs:device_and_pipe_scoped_calls_on_a_live_handle_are_einval_and_counted	none	crates/cellgov_lv2/src/host/usbd.rs
540	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/tests/usbd_tests.rs:receive_event_parks_and_finalize_wakes_every_reader_with_the_terminate_triple	none	crates/cellgov_lv2/src/host/usbd.rs
541	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/tests/usbd_tests.rs:an_empty_bus_lists_no_devices_and_acknowledges_ldd_registration	fabricated_success	crates/cellgov_lv2/src/host/usbd.rs
621	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/dispatch_route/tests/route_stub_tests.rs:syscall_621_returns_ok	fabricated_success	crates/cellgov_lv2/src/host/dispatch_route/unsupported_arms/misc.rs
668	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/rsx/tests/memory_tests.rs:sys_rsx_memory_allocate_returns_base_then_bumps	none	crates/cellgov_lv2/src/host/rsx/memory.rs
669	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/rsx/tests/memory_tests.rs:sys_rsx_memory_free_returns_ok	fabricated_success	crates/cellgov_lv2/src/host/rsx/memory.rs
670	none	none	none	firmware_reading	libgcm_sys.sprx	crates/cellgov_lv2/src/host/rsx/tests/context_tests.rs:sys_rsx_context_allocate_writes_four_out_pointers_and_reports_init	none	crates/cellgov_lv2/src/host/rsx/context.rs
671	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/rsx/tests/context_tests.rs:sys_rsx_context_free_returns_ok	fabricated_success	crates/cellgov_lv2/src/host/rsx/context.rs
672	none	none	none	firmware_reading	libgcm_sys.sprx	crates/cellgov_lv2/src/host/rsx/tests/iomap_tests.rs:valid_call_records_mapping_and_returns_ok	none	crates/cellgov_lv2/src/host/rsx/iomap.rs
674	package_id	none	r4	firmware_reading	libgcm_sys.sprx	crates/cellgov_lv2/src/host/rsx/tests/attribute_tests.rs:sys_rsx_context_attribute_fifo_setup_emits_mmio_writes_when_writable	none	crates/cellgov_lv2/src/host/rsx/attribute.rs
675	none	none	none	firmware_reading	libgcm_sys.sprx	crates/cellgov_lv2/src/host/rsx/tests/device_tests.rs:sys_rsx_device_map_dev_id_8_writes_rsx_device_addr_only_and_returns_ok	none	crates/cellgov_lv2/src/host/rsx/device.rs
677	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/dispatch_route/tests/route_stub_tests.rs:syscall_677_returns_ok_no_effects	fabricated_success	crates/cellgov_lv2/src/host/dispatch_route/unsupported_arms/misc.rs
801	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/fs/tests/open_tests.rs:fs_open_resolves_via_mount_and_caches_blob	none	crates/cellgov_lv2/src/host/fs/open.rs
802	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/fs/tests/read_tests.rs:read_bad_buffer_pointer_returns_efault_and_does_not_advance_offset	none	crates/cellgov_lv2/src/host/fs/read.rs
803	none	none	none	unestablished	none	crates/cellgov_lv2/src/host/fs/tests/write_tests.rs:nonzero_size_with_valid_fd_returns_ebadf_zeros_nwrite_and_logs_break	none	crates/cellgov_lv2/src/host/fs/write.rs
