ordinal	packet	name	source	ref	fw_from	fw_to
93	none	sys_semaphore_trywait	cellgov	cellgov_ps3_abi::lv2::syscall::SEMAPHORE_TRY_WAIT	none	none
93	none	sys_semaphore_trywait	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
93	none	sys_semaphore_trywait	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_SEMAPHORE_TRYWAIT	none	none
94	none	sys_semaphore_post	cellgov	cellgov_ps3_abi::lv2::syscall::SEMAPHORE_POST	none	none
94	none	sys_semaphore_post	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
94	none	sys_semaphore_post	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_SEMAPHORE_POST	none	none
95	none	sys_lwmutex_create	cellgov	cellgov_ps3_abi::lv2::syscall::LWMUTEX_CREATE	none	none
95	none	_sys_lwmutex_create	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
96	none	sys_lwmutex_destroy	cellgov	cellgov_ps3_abi::lv2::syscall::LWMUTEX_DESTROY	none	none
96	none	_sys_lwmutex_destroy	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
97	none	sys_lwmutex_lock	cellgov	cellgov_ps3_abi::lv2::syscall::LWMUTEX_LOCK	none	none
97	none	_sys_lwmutex_lock	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
98	none	sys_lwmutex_unlock	cellgov	cellgov_ps3_abi::lv2::syscall::LWMUTEX_UNLOCK	none	none
98	none	_sys_lwmutex_unlock	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
99	none	sys_lwmutex_trylock	cellgov	cellgov_ps3_abi::lv2::syscall::LWMUTEX_TRYLOCK	none	none
99	none	_sys_lwmutex_trylock	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
100	none	sys_mutex_create	cellgov	cellgov_ps3_abi::lv2::syscall::MUTEX_CREATE	none	none
100	none	sys_mutex_create	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
100	none	sys_mutex_create	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_MUTEX_CREATE	none	none
101	none	sys_mutex_destroy	cellgov	cellgov_ps3_abi::lv2::syscall::MUTEX_DESTROY	none	none
101	none	sys_mutex_destroy	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
101	none	sys_mutex_destroy	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_MUTEX_DESTROY	none	none
102	none	sys_mutex_lock	cellgov	cellgov_ps3_abi::lv2::syscall::MUTEX_LOCK	none	none
102	none	sys_mutex_lock	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
102	none	sys_mutex_lock	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_MUTEX_LOCK	none	none
103	none	sys_mutex_trylock	cellgov	cellgov_ps3_abi::lv2::syscall::MUTEX_TRYLOCK	none	none
103	none	sys_mutex_trylock	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
103	none	sys_mutex_trylock	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_MUTEX_TRYLOCK	none	none
104	none	sys_mutex_unlock	cellgov	cellgov_ps3_abi::lv2::syscall::MUTEX_UNLOCK	none	none
104	none	sys_mutex_unlock	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
104	none	sys_mutex_unlock	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_MUTEX_UNLOCK	none	none
105	none	sys_cond_create	cellgov	cellgov_ps3_abi::lv2::syscall::COND_CREATE	none	none
105	none	sys_cond_create	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
105	none	sys_cond_create	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_COND_CREATE	none	none
106	none	sys_cond_destroy	cellgov	cellgov_ps3_abi::lv2::syscall::COND_DESTROY	none	none
106	none	sys_cond_destroy	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
